Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
190;TA;SHS Net Inflow/Outflow;EUR;-14751.85;-14751.85;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;LHD;EQUILIBRIUM L HEDGED B EURO;DB6215Z8719429
191;TA;SHS Net Inflow/Outflow;EUR;29.84;29.84;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;SCA;EQUILIBRIUM S A EURO;DB6215Z8719429
192;TA;SHS Net Inflow/Outflow;EUR;3552.92;3552.92;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;SDI;EQUILIBRIUM S B EURO;DB6215Z8719429
193;TA;SHS Net Inflow/Outflow;EUR;-9507.91;-9507.91;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;SHC;EQUILIBRIUM S HEDGED A EURO;DB6215Z8719429
194;TA;SHS Net Inflow/Outflow;EUR;-25412.6;-25412.6;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB6215;Z8719429;SHD;EQUILIBRIUM S HEDGED B EURO;DB6215Z8719429
22S;TA;SHS Net Inflow/Outflow;EUR;13911;13911;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8818;Z8719429;SCA;CHALLENGE EURO BOND S FUND A RETAIL CLASS;DB8818Z9397076
23S;TA;SHS Net Inflow/Outflow;EUR;-950.41;-950.41;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8818;Z8719429;SDI;CHALLENGE EURO BOND S FUND B RETAIL CLASS;DB8818Z9397076
24S;TA;SHS Net Inflow/Outflow;EUR;-643.76;-643.76;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8819;Z8719429;SCA;CHALLENGE LIQUIDITY EURO S FUND A RETAIL CLASS;DB8819Z8719429
26S;TA;SHS Net Inflow/Outflow;EUR;-5117.53;-5117.53;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8820;Z8719429;SCA;CHALLENGE EUROPEAN INCOME S FUND A RETAIL CLASS;DB8820Z9397076
27S;TA;SHS Net Inflow/Outflow;EUR;28470;28470;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB8820;Z8719429;SDI;CHALLENGE EUROPEAN INCOME S FUND B RETAIL CLASS;DB8820Z9397076
28S;TA;SHS Net Inflow/Outflow;EUR;-1000;-1000;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5199;Z8719429;SHC;CHALLENGE INTERNATIONAL INCOME HEDGED S FUND A RETAIL CLASS;DB5199Z9397076
30S;TA;SHS Net Inflow/Outflow;EUR;-3500;-3500;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB5200;Z8719429;SHC;CHALLENGE INTERNATIONAL BOND HEDGED S FUND A RETAIL CLASS;DB5200Z9397076
32G;TA;SHS Net Inflow/Outflow;EUR;-20827.42;-20827.42;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3014;Z8719429;LHC;US COLLECTION L FD A HEDGED;DB3014Z8719429
32H;TA;SHS Net Inflow/Outflow;EUR;3956;3956;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3014;Z8719429;SHC;US COLLECTION S FD A HEDGED;DB3014Z8719429
32S;TA;SHS Net Inflow/Outflow;EUR;35328.46;35328.46;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3014;Z8719429;SCA;US COLLECTION S FD A;DB3014Z8719429
33G;TA;SHS Net Inflow/Outflow;EUR;79020.38;79020.38;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3018;Z8719429;LHC;EUROPEAN COLLECTION L FD A HED;DB3018Z8719429
33H;TA;SHS Net Inflow/Outflow;EUR;165755.05;165755.05;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3018;Z8719429;SHC;EUROPEAN COLLECTION S FD A HED;DB3018Z8719429
33S;TA;SHS Net Inflow/Outflow;EUR;40727.37;40727.37;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3018;Z8719429;SCA;EUROPEAN COLLECTION S FD A;DB3018Z8719429
34G;TA;SHS Net Inflow/Outflow;EUR;26515.95;26515.95;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3017;Z8719429;LHC;PACIFIC COLLECTION L FD A HEDG;DB3017Z8719429
34H;TA;SHS Net Inflow/Outflow;EUR;339.48;339.48;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3017;Z8719429;SHC;PACIFIC COLLECTION S FD A HEDG;DB3017Z8719429
34S;TA;SHS Net Inflow/Outflow;EUR;1271.95;1271.95;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB3017;Z8719429;SCA;PACIFIC COLLECTION S FD A;DB3017Z8719429
