Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
16S;TA;SHS Net Inflow/Outflow;EUR;0;0;132320.85;132320.85;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8815;Z8719429;SCA;CHALLENGE ITALIAN EQUITY S FUND A RETAIL CLASS;DB8815Z8997924
178;TA;SHS Net Inflow/Outflow;EUR;0;0;8668.36;8668.36;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6214;Z8719429;LCA;FINANCIAL INCOME STRATEGY L A EURO;DB6214Z8719429
179;TA;SHS Net Inflow/Outflow;EUR;0;0;66208.24;66208.24;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6214;Z8719429;LDI;FINANCIAL INCOME STRATEGY L B EURO;DB6214Z8719429
183;TA;SHS Net Inflow/Outflow;EUR;0;0;10299;10299;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6214;Z8719429;SCA; FINANCIAL INCOME STRATEGY S A EURO;DB6214Z8719429
184;TA;SHS Net Inflow/Outflow;EUR;0;0;78331.11;78331.11;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6214;Z8719429;SDI;FINANCIAL INCOME STRATEGY S B EURO;DB6214Z8719429
187;TA;SHS Net Inflow/Outflow;EUR;0;0;-18397.74;-18397.74;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;LCA;EQUILIBRIUM L A EURO;DB6215Z8719429
188;TA;SHS Net Inflow/Outflow;EUR;0;0;-17442.39;-17442.39;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;LDI;EQUILIBRIUM L B EURO;DB6215Z8719429
189;TA;SHS Net Inflow/Outflow;EUR;0;0;7464.16;7464.16;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;LHC;EQUILIBRIUM L HEDGED A EURO;DB6215Z8719429
18S;TA;SHS Net Inflow/Outflow;EUR;0;0;3316.21;3316.21;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8816;Z8719429;SCA;CHALLENGE EMERGING MARKETS EQUITY S FUND A RETAIL CLASS;DB8816Z8719429
190;TA;SHS Net Inflow/Outflow;EUR;0;0;-14484.8;-14484.8;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;LHD;EQUILIBRIUM L HEDGED B EURO;DB6215Z8719429
191;TA;SHS Net Inflow/Outflow;EUR;0;0;33.34;33.34;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB6215;Z8719429;SCA;EQUILIBRIUM S A EURO;DB6215Z8719429
