Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Settlement Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Broker Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Brokerage;Tax;Expenses;Net Amount;Broker BIC Code;Fund Manager BIC Code;Bloomberg Code
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0213000;SWIFT#03820500158720A;AT;SECURITIES PURCHASE;N;HILTON WORLDWIDE HOLDINGS INC;UBS AG STAMFORD BRANCH;US43300A1043;EQUITIES;3214.000000;USD;21.080000;67751.12;9.64;0.00;0.00;67760.76;UBSWUS33;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0219000;SWIFT#03820500158780A;AT;SECURITIES PURCHASE;N;SCRIPPS NETWORKS INTERACTIVE I;UBS AG STAMFORD BRANCH;US8110651010;EQUITIES;1375.000000;USD;62.280000;85635.00;4.13;0.00;0.00;85639.13;UBSWUS33;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0220000;SWIFT#03820500158790A;AT;SECURITIES PURCHASE;N;MELCO CROWN ENT SADR;UBS AG STAMFORD BRANCH;US5854641009;EQUITIES;8631.000000;USD;14.270000;123164.37;25.89;0.00;0.00;123190.26;UBSWUS33;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0221000;SWIFT#03820500158800A;AT;SECURITIES PURCHASE;N;NETFLIX INC;UBS AG STAMFORD BRANCH;US64110L1061;EQUITIES;1727.000000;USD;90.500000;156293.50;5.18;0.00;0.00;156298.68;UBSWUS33;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0217000;SWIFT#03820500158760A;AT;SECURITIES PURCHASE;N;NIELSEN HOLDINGS PLC;UBS AG STAMFORD BRANCH;GB00BWFY5505;EQUITIES;1610.000000;USD;51.970000;83671.70;4.83;0.00;0.00;83676.53;UBSWUS33;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0218000;SWIFT#03820500158770A;AT;SECURITIES PURCHASE;N;AMAZON COM INC;UBS AG STAMFORD BRANCH;US0231351067;EQUITIES;215.000000;USD;697.450000;149951.75;0.65;0.00;0.00;149952.40;UBSWUS33;BGIAGB2L;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;18052016;20052016;001509ATA8876000;SWIFT#03820400143580A;AT;SECURITIES PURCHASE;N;COLOPLAST -B-;CITIGROUP GLOBAL MARKETS LIMITED;DK0060448595;EQUITIES;910.000000;DKK;495.200000;450632.00;67.59;0.00;0.00;450699.59;SBILGB2L;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0222000;SWIFT#03820500158810A;AT;SECURITIES PURCHASE;N;DANAHER CORP;UBS AG STAMFORD BRANCH;US2358511028;EQUITIES;940.000000;USD;98.330000;92430.20;2.82;0.00;0.00;92433.02;UBSWUS33;BGIAGB2L;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;18052016;23052016;001509ATA8879000;SWIFT#03820400143600A;AT;SECURITIES PURCHASE;N;WALGREENS BOOTS ALLIANCE INC;UBS AG STAMFORD BRANCH;US9314271084;EQUITIES;902.000000;USD;76.540000;69039.08;2.71;0.00;0.00;69041.79;UBSWUS33;BGIAGB2L;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;18052016;20052016;001510ATB1891000;SWIFT#03820300178370A;AT;SECURITIES PURCHASE;N;LLOYDS BANKING GROUP PLC;CITIGROUP GLOBAL MARKETS LIMITED;GB0008706128;EQUITIES;58079.000000;GBP;0.695000;40364.91;7.05;0.00;0.00;40573.81;SBILGB2L;BGIAGB2L;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;18052016;20052016;001509ATA8877000;SWIFT#03820400143570A;AT;SECURITIES PURCHASE;N;FRESENIUS SE & CO KGAA;CITIGROUP GLOBAL MARKETS LIMITED;DE0005785604;EQUITIES;956.000000;EUR;64.280000;61451.68;9.22;0.00;0.00;61460.90;SBILGB2L;BGIAGB2L;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;18052016;20052016;001509ATA8878000;SWIFT#03820400143590A;AT;SECURITIES PURCHASE;N;SNAM AZ;CITIGROUP GLOBAL MARKETS LIMITED;IT0003153415;EQUITIES;11920.000000;EUR;5.180000;61745.60;9.26;61.75;0.00;61816.61;SBILGB2L;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;20052016;001506ATB0209000;SWIFT#03820500158670A;AT;SECURITIES PURCHASE;N;VINCI;CITIBANK EUROPE PLC UK BRANCH;FR0000125486;EQUITIES;1835.000000;EUR;65.360000;119935.60;17.99;239.87;0.00;120193.46;CITTGB2L;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;24052016;001506ATB0210000;SWIFT#03820500158690A;AT;SECURITIES PURCHASE;N;RESTAURANT BRANDS INTL INC;RBC CAPITAL MARKETS CORP;CA76131D1033;EQUITIES;1585.000000;CAD;52.480000;83180.80;24.95;0.00;0.00;83205.75;RBDSCAT1;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;20052016;001506ATB0208000;SWIFT#03820500158680A;AT;SECURITIES PURCHASE;N;PEUGEOT SA;CITIBANK EUROPE PLC UK BRANCH;FR0000121501;EQUITIES;4012.000000;EUR;13.010000;52196.12;7.83;104.39;0.00;52308.34;CITTGB2L;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0214000;SWIFT#03820500158730A;AT;SECURITIES PURCHASE;N;FASTENAL;UBS AG STAMFORD BRANCH;US3119001044;EQUITIES;1371.000000;USD;45.390000;62229.69;4.11;0.00;0.00;62233.80;UBSWUS33;BGIAGB2L;
