C Id Isin;Consolidated;Fund Code;Fund name;Date Nav;Code Share;Outstanding;Nav Net;Quantity Outstanding;Price Share;NAV PREC;AGE_VAR_NAV PERC;P SHARE IN ITL;C Ccy;H Valid;ZWIST J;A Actual Zwist;C N Id;Income Equalization (code 1 or 2 or 3)
IE0004393926;DB8810;DB8813;CHALLENGE EUROPEAN EQUITY;20-SEP-2021;SCA;32990210.70;835639846.92;3249130.208;10.154;10.207;-0.01;;EUR;0920153845;;;113208000000;1
IE00B609PZ88;DB8810;DB8813;CHALLENGE EUROPEAN EQUITY;20-SEP-2021;SHC;10322083.81;835639846.92;633687.419;16.289;16.368;-0.;;EUR;0920153845;;;618488000000;1
IE0004905604;DB8810;DB8815;CHALLENGE ITALIAN EQUITY FUND;20-SEP-2021;LCA;210088298.56;249736246.4;35479057.570;5.921;5.953;-0.01;;EUR;0920162849;;;12592000000;1
IE0004394007;DB8810;DB8815;CHALLENGE ITALIAN EQUITY FUND;20-SEP-2021;SCA;39647947.84;249736246.4;3978233.029;9.966;10.02;-0.01;;EUR;0920162849;;;52006000000;1
IE0004878637;DB8810;DB8819;CHALLENGE LIQUIDITY FUND;20-SEP-2021;LCA;1844968234.68;1886702582.36;273542335.857;6.745;6.744;0.;;EUR;0920195320;;;137008000000;1
IE0004400374;DB8810;DB8819;CHALLENGE LIQUIDITY FUND;20-SEP-2021;SCA;41734347.68;1886702582.36;3367693.866;12.393;12.392;0.;;EUR;0920195320;;;52025000000;1
IE00B1P83V78;DB8810;DB8828;CHALLENGE PROVIDENT 5 FUND;20-SEP-2021;PD;1064453737.32;1064453737.32;108834790.380;9.78;9.781;-0.;;EUR;0920133628;;;532428000000;1
LU0039296719;LU4132;LU4133;GAMAX FUNDS ASIA PACIFIC;20-SEP-2021;A;62023610.13;234374645.;2563128.635;24.2;24.11;0.;;EUR;0920140157;;;9216000000;1
LU0743995689;LU4132;LU4133;GAMAX FUNDS ASIA PACIFIC;20-SEP-2021;I;172351034.87;234374645.;7869819.989;21.9;21.82;0.;;EUR;0920140157;;;422933000000;1
IE00BVL88501;DB3012;DB6214;FINANCIAL INCOME STRATEGY;20-SEP-2021;LCA;451338492.67;906304809.48;68719663.871;6.568;6.581;-0.;;EUR;0920173123;;;908705000000;1
IE00BVL88618;DB3012;DB6214;FINANCIAL INCOME STRATEGY;20-SEP-2021;LDI;219945752.58;906304809.48;41160594.329;5.344;5.354;-0.;;EUR;0920173123;;;908735000000;1
IE00BVL88949;DB3012;DB6214;FINANCIAL INCOME STRATEGY;20-SEP-2021;SCA;84968385.25;906304809.48;6547724.803;12.977;13.003;-0.;;EUR;0920173123;;;908738000000;1
IE00BVL88B68;DB3012;DB6214;FINANCIAL INCOME STRATEGY;20-SEP-2021;SDI;150052178.98;906304809.48;14207188.222;10.562;10.583;-0.;;EUR;0920173123;;;908739000000;1
IE0005372291;DB3012;DB3018;EUROPEAN COLLECTION;20-SEP-2021;LCA;287338769.08;531810718.25;36658817.785;7.838;7.849;-0.;;EUR;0920181724;;;54253000000;1
IE00B04KP445;DB3012;DB3018;EUROPEAN COLLECTION;20-SEP-2021;LHC;98091364.09;531810718.25;11685485.660;8.394;8.402;-0.;;EUR;0920181724;;;152176000000;1
IE0009623939;DB3012;DB3018;EUROPEAN COLLECTION;20-SEP-2021;SCA;86098841.87;531810718.25;7531500.316;11.432;11.448;-0.;;EUR;0920181724;;;54254000000;1
IE00B02YQB22;DB3012;DB3018;EUROPEAN COLLECTION;20-SEP-2021;SHC;60281743.21;531810718.25;3912632.339;15.407;15.423;-0.;;EUR;0920181724;;;152175000000;1
