Fund Custody Code;External Fund Identifier;PTG Name;Trade Date;Settlement Date;Maturity Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Collateral Counterparty Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Interest;Brokerage;Tax;Expenses;Net Amount;Buy Currency;Purchase Amount;Sell Currency;Sold Amount;FX Rate;Deposit Amount;Deposit Rate;No. of Days;Collateral Counterparty BIC Code;Fund Manager BIC Code;Bloomberg Code
15210;15167Z5908260COLIN;GLOBAL HIGH YIELD COLLATERAL;15/05/2014;16/05/2017;;015210EE00026000;SWBC 4420741-3340193;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;7770000;;0;;0;0;0;0;0;FETALULL;;
15217;15161Z5908260COLIN;MED BLACKROCK GLBL SLTN COLLATERAL;15/05/2017;16/05/2017;;015217EE00019000;SWBC 4420728-3340201;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;480000;;0;;0;0;0;0;0;FETALULL;;
15221;15156Z5908260COLIN;COUPON STRAT COLLECTION COLLATERAL;15/05/2017;16/05/2017;;015221EE00025000;SWBC 4420737-3340199;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;7520000;;0;;0;0;0;0;0;FETALULL;;
16264;16147Z5908260COLIN;CONV STRATEGY COLLECT COLLATERAL;15/05/2017;16/05/2017;;016264EE00020000;SWBC 4420735-3340200;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;1100000;;0;;0;0;0;0;0;FETALULL;;
15223;19050Z5908260COLIN;CHALLENGE INTL EQUITY COLLATERAL;15/05/2017;16/05/2017;;015223EE00012000;SWBC 4420753-3340167;EE;CASH DIRECT ENTRY;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;300000;;0;;0;0;0;0;0;FETALULL;;
19803;19045Z5908260COLIN;CH COUNTER CYCLICAL MAML-COLL-JPM;16/05/2017;16/05/2017;;019803EE00002000;SWBC 4421935-3341359;EE;CASH DIRECT ENTRY;N;;JPMORGAN CHASE BANK N.A.;;;0;EUR;0;0;0;0;0;0;260000;;0;;0;0;0;0;0;CHASGB2L;;
19872;19053Z5908260COLIN;CH NORTH AMERICA EQ MAML-COLL-MLI;16/05/2017;16/05/2017;;019872SE00013000;SWBC 4420064-3339407;SE;CASH WITHDRAWAL;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;-540000;;0;;0;0;0;0;0;MLILGB3L;;
19642;15156Z5908260COLIN;COUPON STRATEGY COLLECT-COLLAT-MLI;16/05/2017;16/05/2017;;019642SE00029000;SWBC 4420052-3339412;SE;CASH WITHDRAWAL;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;-830000;;0;;0;0;0;0;0;MLILGB3L;;
19880;19054Z5908260COLIN;CH EUROPEAN EQ MAML - COLLAT MLI;16/05/2017;16/05/2017;;019880SE00002000;SWBC 4420059-3339409;SE;CASH WITHDRAWAL;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;-290000;;0;;0;0;0;0;0;MLILGB3L;;
19848;19050Z5908260COLIN;CHAL INTL EQUITY MAML -COLLAT MLI;16/05/2017;16/05/2017;;019848SE00009000;SWBC 4420062-3339408;SE;CASH WITHDRAWAL;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;-330000;;0;;0;0;0;0;0;MLILGB3L;;
